dataset,partitioner,dirichlet_alpha,seed,num_clients,scope,client_id,class_id,reference,metric,statistic,value,units,notes
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,,client_samples_max,value,7754,samples,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,,client_samples_max_to_min_ratio,value,4.970512820512821,ratio,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,,client_samples_mean,value,5000.0,samples,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,,client_samples_min,value,1560,samples,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,,client_samples_std,value,2139.9840186319148,samples,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,,quantity_coefficient_of_variation,value,0.42799680372638294,ratio,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,,quantity_effective_clients,value,8.45179035897918,clients,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,,quantity_gini,value,0.242984,,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,,quantity_jain_fairness,value,0.8451790358979181,,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,all_classes,coverage_deficiency,max,0.09999999999999998,fraction,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,all_classes,coverage_deficiency,mean,0.009999999999999998,fraction,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,all_classes,coverage_deficiency,median,0.0,fraction,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,all_classes,coverage_deficiency,min,0.0,fraction,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,all_classes,coverage_deficiency,std,0.029999999999999992,fraction,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,all_classes,coverage_deficiency,weighted_mean,0.013457999999999998,fraction,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,categorical_wasserstein_to_global,max,0.6231347834925798,distance,With zero/one categorical ground cost this equals total variation.
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,categorical_wasserstein_to_global,mean,0.45229226519759413,distance,With zero/one categorical ground cost this equals total variation.
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,categorical_wasserstein_to_global,median,0.44111415408785004,distance,With zero/one categorical ground cost this equals total variation.
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,categorical_wasserstein_to_global,min,0.3594267634468639,distance,With zero/one categorical ground cost this equals total variation.
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,categorical_wasserstein_to_global,std,0.07990797744297892,distance,With zero/one categorical ground cost this equals total variation.
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,categorical_wasserstein_to_global,weighted_mean,0.43989,distance,With zero/one categorical ground cost this equals total variation.
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,diagnostic_label_index_wasserstein_to_global,max,2.3688141923436032,distance,Diagnostic only: nominal class IDs have no intrinsic ordering.
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,diagnostic_label_index_wasserstein_to_global,mean,1.3175300652020363,distance,Diagnostic only: nominal class IDs have no intrinsic ordering.
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,diagnostic_label_index_wasserstein_to_global,median,1.0114549292865105,distance,Diagnostic only: nominal class IDs have no intrinsic ordering.
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,diagnostic_label_index_wasserstein_to_global,min,0.7999999999999998,distance,Diagnostic only: nominal class IDs have no intrinsic ordering.
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,diagnostic_label_index_wasserstein_to_global,std,0.5648389452851801,distance,Diagnostic only: nominal class IDs have no intrinsic ordering.
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,diagnostic_label_index_wasserstein_to_global,weighted_mean,1.274924,distance,Diagnostic only: nominal class IDs have no intrinsic ordering.
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,global_class_gini,value,0.0,,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,global_majority_to_minority_ratio,value,1.0,ratio,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,global_normalized_label_entropy,value,0.9999999999999998,,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,hellinger_to_global,max,0.5064425559743,distance,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,hellinger_to_global,mean,0.4119240921823618,distance,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,hellinger_to_global,median,0.4050966534164524,distance,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,hellinger_to_global,min,0.34994023414125247,distance,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,hellinger_to_global,std,0.05170071280393903,distance,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,hellinger_to_global,weighted_mean,0.40603217491595023,distance,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,jensen_shannon_to_global,max,0.5742667274878992,distance,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,jensen_shannon_to_global,mean,0.47152323927489703,distance,
cifar10,dirichlet,0.5,42,10,client_partition_pre_validation,,,global_label_distribution,jensen_shannon_to_global,median,0.46333833557418674,distance,
